scientificName,decimalLongitude,decimalLatitude
Gambierdiscus carolinianus,-88.083994,16.802425
Gambierdiscus carolinianus,-80.9333,31.4
Gambierdiscus carpenteri,-80.9333,31.4
Gambierdiscus,150.017,-36.6234
Gambierdiscus jejuensis,135.79278,32.27444
Gambierdiscus scabrosus,127.85417,26.64778
Gambierdiscus jejuensis,133.34139,33.39389
Gambierdiscus caribaeus,-83.042229,24.613059
Gambierdiscus polynesiensis,-147.674109,-23.860485
Gambierdiscus caribaeus,-80.817962,24.828084
Gambierdiscus carolinianus,-65.5531464,18.1375694
Gambierdiscus,150.013,-36.6015
Gambierdiscus,150.117,-36.2126
Gambierdiscus,150.054,-36.4238
Gambierdiscus balechii,124.8333,1.48333
Gambierdiscus scabrosus,132.725,32.78556
Gambierdiscus excentricus,-41.8833,-22.75
Gambierdiscus,150.013,-36.6015
Gambierdiscus scabrosus,132.6253,34.7728
Gambierdiscus,150.017,-36.6234
Gambierdiscus excentricus,-42,-22.9833
Gambierdiscus carolinianus,-76.964433,33.5333
Gambierdiscus jejuensis,128.02167,33.51917
Gambierdiscus,152.781,-31.6818
Gambierdiscus,150.131,-36.0683
Gambierdiscus,152.826,-31.6433
Gambierdiscus,150.117,-36.2126
Gambierdiscus,149.887,-36.8985
Gambierdiscus caribaeus,-88.082118,16.802744
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.887,-36.8985
Gambierdiscus,152.791,-31.6276
Gambierdiscus scabrosus,125.23972,24.925
Gambierdiscus,149.887,-36.8985
Gambierdiscus,152.826,-31.6433
Gambierdiscus scabrosus,125.426388,24.76083
Gambierdiscus,-35,-8.53
Gambierdiscus,149.92,-36.8926
Gambierdiscus,152.826,-31.6433
Gambierdiscus,149.955,-37.2483
Gambierdiscus,152.826,-31.6433
Gambierdiscus,149.92,-36.8926
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.887,-36.8985
Gambierdiscus,149.92,-36.8926
Gambierdiscus caribaeus,-88.082675,16.815068
Gambierdiscus,152.791,-31.6276
Gambierdiscus australes,-138.810645,-21.811104
Gambierdiscus belizeanus,-81.103895,24.71167
Gambierdiscus carolinianus,-76.96538385,33.89866667
Gambierdiscus pacificus,-138.810645,-21.811104
Gambierdiscus caribaeus,-88.082675,16.815068
Gambierdiscus,152.826,-31.6433
Gambierdiscus carpenteri,146.77667,-19.16667
Gambierdiscus,-79.9585,32.80252
Gambierdiscus excentricus,-16.3166,28.5666
Gambierdiscus belizeanus,-88.09583333,16.80277778
Gambierdiscus carolinianus,-76.94508333,33.63846667
Gambierdiscus carpenteri,-88.08333,16.81666
Gambierdiscus carolinianus,-76.93333,33.63333
Gambierdiscus carolinianus,-76.94508333,33.63846667
Gambierdiscus caribaeus,-88.08333,16.8
Gambierdiscus pacificus,-149.477173,-23.395569
Gambierdiscus caribaeus,-88.082118,16.802744
Gambierdiscus caribaeus,-88.08226,16.802994
Gambierdiscus carolinianus,-76.9451,33.6385
Gambierdiscus carolinianus,-76.9451,33.6385
Gambierdiscus,119.912,16.3795
Gambierdiscus caribaeus,-88.082118,16.802744
Gambierdiscus pacificus,-149.88,-17.485
Gambierdiscus belizeanus,-88.083,16.817
Gambierdiscus australes,-156.8,20.5
Gambierdiscus polynesiensis,-134.968594,-23.119963
Gambierdiscus australes,-134.968594,-23.119963
Gambierdiscus toxicus,55.27735,-21.15352
Gambierdiscus australes,-149.523757,-23.362026
Gambierdiscus polynesiensis,-147.0166667,-14.53333333
Gambierdiscus polynesiensis,-149.523757,-23.362026
Gambierdiscus australes,-147.4166667,-23.91666667
Gambierdiscus pacificus,-140.7666667,-18.6666667
Gambierdiscus toxicus,-149.296138,-17.608542
Gambierdiscus jejuensis,136.57472,34.10778
Gambierdiscus toxicus,-149.504998,-17.76345
Gambierdiscus toxicus,-149.3,-17.61666667
Gambierdiscus toxicus,-166.551074,-20.629363
Gambierdiscus carpenteri,144.710779,13.474856
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus belizeanus,-62.84,17.92
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.2,-24.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
Gambierdiscus,153.48,-26.98
